recorded_at,experiment,label,frame_index,elapsed_s,face_detected,head_pitch,head_yaw,eye_pitch,eye_yaw,gaze_pitch,gaze_yaw,iris_offset_x,iris_offset_y
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,54,5.0193,1,-4.3699,11.7889,4.7864,2.8198,0.4165,14.6088,0.0470,-0.0798
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,55,5.1124,1,-4.1860,11.0935,6.8173,2.5684,2.6313,13.6618,0.0428,-0.1136
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,56,5.2050,1,-4.0692,11.0635,5.3370,1.4485,1.2678,12.5119,0.0241,-0.0889
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,57,5.3003,1,-3.8426,11.6555,6.1915,2.9775,2.3490,14.6330,0.0496,-0.1032
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,58,5.3913,1,-3.9265,11.9422,4.7595,4.1534,0.8330,16.0956,0.0692,-0.0793
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,59,5.4862,1,-4.0588,11.4147,6.8622,2.9508,2.8035,14.3654,0.0492,-0.1144
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,60,5.5778,1,-4.4098,11.3384,6.2396,3.2463,1.8297,14.5846,0.0541,-0.1040
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,61,5.6707,1,-4.5274,11.5333,5.6102,3.6140,1.0827,15.1473,0.0602,-0.0935
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,62,5.7665,1,-4.7533,10.8183,6.4965,2.6069,1.7433,13.4252,0.0434,-0.1083
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,63,5.8644,1,-3.7653,11.6113,5.0140,2.7847,1.2487,14.3960,0.0464,-0.0836
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,64,5.9500,1,-3.8104,10.8679,5.5114,3.7511,1.7010,14.6190,0.0625,-0.0919
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,65,6.0432,1,-4.0925,10.9151,7.5376,4.1443,3.4451,15.0594,0.0691,-0.1256
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,66,6.1367,1,-4.0841,11.3041,7.4480,5.2997,3.3640,16.6038,0.0883,-0.1241
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,67,6.2305,1,-4.3661,10.7746,8.5089,3.7705,4.1429,14.5451,0.0628,-0.1418
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,68,6.3226,1,-4.1217,11.4317,8.6899,3.6860,4.5682,15.1177,0.0614,-0.1448
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,69,6.4142,1,-4.3247,10.8411,6.0255,3.0900,1.7008,13.9311,0.0515,-0.1004
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,70,6.5133,1,-4.3541,12.2869,6.8370,3.9901,2.4829,16.2771,0.0665,-0.1140
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,71,6.6022,1,-4.2093,10.8917,6.9666,4.0701,2.7573,14.9617,0.0678,-0.1161
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,72,6.7012,1,-4.5572,11.6771,5.2886,4.0669,0.7313,15.7440,0.0678,-0.0881
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,73,6.7872,1,-4.1438,11.6412,7.1148,3.9751,2.9709,15.6162,0.0663,-0.1186
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,74,6.8808,1,-4.8722,11.4157,8.0390,3.2869,3.1668,14.7025,0.0548,-0.1340
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,75,6.9714,1,-4.3906,10.7727,7.8937,3.6590,3.5031,14.4318,0.0610,-0.1316
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,76,7.0646,1,-4.2029,11.3589,6.4172,4.5943,2.2144,15.9532,0.0766,-0.1070
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,77,7.1590,1,-4.2076,11.4388,6.7643,2.5903,2.5567,14.0291,0.0432,-0.1127
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,78,7.2523,1,-4.4963,11.1443,7.9431,4.5271,3.4467,15.6714,0.0755,-0.1324
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,79,7.3465,1,-4.7056,11.4821,8.5514,2.3630,3.8459,13.8451,0.0394,-0.1425
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,80,7.4394,1,-3.5754,12.1132,6.8043,2.2037,3.2289,14.3169,0.0367,-0.1134
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,81,7.5317,1,-4.5148,10.5643,8.5414,2.3900,4.0266,12.9542,0.0398,-0.1424
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,82,7.6242,1,-4.0846,10.9266,5.6892,4.1194,1.6045,15.0460,0.0687,-0.0948
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,83,7.7176,1,-4.1294,11.4555,7.7463,4.3804,3.6169,15.8359,0.0730,-0.1291
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,84,7.8158,1,-4.3816,11.3613,4.5257,5.2587,0.1442,16.6199,0.0876,-0.0754
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,85,7.9061,1,-4.1785,11.3226,6.9689,4.0688,2.7904,15.3914,0.0678,-0.1161
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,86,7.9962,1,-4.5120,10.7583,5.9511,4.8829,1.4391,15.6412,0.0814,-0.0992
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,87,8.0875,1,-4.2051,11.2118,7.3059,4.0300,3.1009,15.2418,0.0672,-0.1218
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,88,8.1819,1,-4.6968,11.0146,7.2347,4.2298,2.5379,15.2445,0.0705,-0.1206
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,89,8.2744,1,-4.5710,11.0062,7.3253,3.5472,2.7543,14.5534,0.0591,-0.1221
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,90,8.3666,1,-4.6585,11.4054,6.4829,3.8750,1.8244,15.2804,0.0646,-0.1080
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,91,8.4646,1,-4.2943,10.8059,10.6415,4.7998,6.3472,15.6057,0.0800,-0.1774
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,92,8.5531,1,-3.8834,11.2577,8.8066,5.2220,4.9232,16.4797,0.0870,-0.1468
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,93,8.6520,1,-4.4020,11.4368,10.4001,3.8836,5.9981,15.3204,0.0647,-0.1733
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,94,8.7400,1,-4.4167,11.4065,9.2298,4.5118,4.8132,15.9182,0.0752,-0.1538
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,95,8.8350,1,-4.8406,10.7125,7.9150,6.2396,3.0744,16.9521,0.1040,-0.1319
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,96,8.9247,1,-4.1030,10.5794,8.0088,4.7392,3.9058,15.3187,0.0790,-0.1335
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,97,9.0208,1,-5.1870,11.0183,8.4479,4.8172,3.2609,15.8355,0.0803,-0.1408
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,98,9.1120,1,-4.2406,11.8286,5.8863,2.9554,1.6457,14.7840,0.0493,-0.0981
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,99,9.2056,1,-5.0379,11.8677,5.5594,4.4311,0.5216,16.2988,0.0739,-0.0927
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,100,9.3065,1,-3.8417,11.5269,6.1640,3.1353,2.3223,14.6622,0.0523,-0.1027
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,101,9.3924,1,-4.1217,12.1495,6.1065,3.9124,1.9848,16.0619,0.0652,-0.1018
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,102,9.4846,1,-4.8689,11.2998,5.2617,2.1752,0.3928,13.4750,0.0363,-0.0877
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,103,9.5752,1,-4.9002,11.2341,4.6297,2.5528,-0.2705,13.7869,0.0425,-0.0772
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,104,9.6715,1,-4.7577,11.3419,4.7361,2.0628,-0.0216,13.4047,0.0344,-0.0789
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,105,9.7651,1,-4.6348,11.4994,5.7627,2.1193,1.1279,13.6187,0.0353,-0.0960
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,106,9.8556,1,-5.0437,10.7056,5.5148,3.2741,0.4711,13.9797,0.0546,-0.0919
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,107,9.9502,1,-4.6260,11.3497,4.6849,2.6419,0.0590,13.9916,0.0440,-0.0781
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,108,10.0428,1,-4.8575,10.6303,6.6897,3.1016,1.8322,13.7319,0.0517,-0.1115
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,109,10.1362,1,-4.8227,11.1677,4.1882,2.7402,-0.6345,13.9079,0.0457,-0.0698
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,110,10.2367,1,-5.4147,11.5514,7.9298,1.5769,2.5151,13.1283,0.0263,-0.1322
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,111,10.3215,1,-5.2562,11.7699,8.4949,1.7905,3.2387,13.5604,0.0298,-0.1416
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,112,10.4155,1,-4.8011,11.6748,7.3017,1.8109,2.5006,13.4857,0.0302,-0.1217
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,113,10.5088,1,-5.1471,11.2622,6.8496,1.6511,1.7025,12.9133,0.0275,-0.1142
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,114,10.6025,1,-4.6460,11.2760,5.9695,2.9139,1.3234,14.1900,0.0486,-0.0995
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,115,10.6941,1,-4.3647,11.7776,5.2805,3.0734,0.9158,14.8511,0.0512,-0.0880
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,116,10.7874,1,-4.7082,10.8880,7.2364,3.8077,2.5282,14.6957,0.0635,-0.1206
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,117,10.8848,1,-4.4684,11.2700,4.5364,3.4383,0.0680,14.7083,0.0573,-0.0756
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,118,10.9717,1,-4.3125,11.5125,4.8504,2.9302,0.5379,14.4427,0.0488,-0.0808
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,119,11.0632,1,-4.5072,11.8540,4.1037,2.5753,-0.4034,14.4293,0.0429,-0.0684
