recorded_at,experiment,label,frame_index,phone_confidence
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,29,0.5419
2026-07-15T15:35:47.077053+00:00,experiment_1_desktop_pc_camera,phone_edge_frame,30,0.5278
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,1,0.7837
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,2,0.7361
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,3,0.7359
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,4,0.7723
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,5,0.7883
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,6,0.7894
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,7,0.8065
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,8,0.7924
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,9,0.7851
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,10,0.7629
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,11,0.7500
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,12,0.7642
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,13,0.7527
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,14,0.7847
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,15,0.7057
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,16,0.7240
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,17,0.7162
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,18,0.0000
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,19,0.7062
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,20,0.7426
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,21,0.7275
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,22,0.7275
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,23,0.5842
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,24,0.7417
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,25,0.7052
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,26,0.7081
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,27,0.7471
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,28,0.7213
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,29,0.7350
2026-07-15T15:36:32.916277+00:00,experiment_1_desktop_pc_camera,phone_in_hand_near_face,30,0.7138
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,1,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,2,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,3,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,4,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,5,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,6,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,7,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,8,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,9,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,10,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,11,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,12,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,13,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,14,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,15,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,16,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,17,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,18,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,19,0.2560
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,20,0.4751
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,21,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,22,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,23,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,24,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,25,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,26,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,27,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,28,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,29,0.0000
2026-07-15T15:37:12.593530+00:00,experiment_1_desktop_pc_camera,nophone_hand_to_face,30,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,1,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,2,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,3,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,4,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,5,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,6,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,7,0.2979
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,8,0.3096
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,9,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,10,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,11,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,12,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,13,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,14,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,15,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,16,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,17,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,18,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,19,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,20,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,21,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,22,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,23,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,24,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,25,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,26,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,27,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,28,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,29,0.0000
2026-07-15T15:37:35.812595+00:00,experiment_1_desktop_pc_camera,nophone_drinking_water,30,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,1,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,2,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,3,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,4,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,5,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,6,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,7,0.3630
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,8,0.4535
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,9,0.7039
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,10,0.6247
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,11,0.3490
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,12,0.4591
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,13,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,14,0.4159
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,15,0.3250
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,16,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,17,0.5499
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,18,0.2722
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,19,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,20,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,21,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,22,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,23,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,24,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,25,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,26,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,27,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,28,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,29,0.0000
2026-07-15T15:37:56.186418+00:00,experiment_1_desktop_pc_camera,nophone_dark_waterbottle,30,0.2838
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,1,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,2,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,3,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,4,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,5,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,6,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,7,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,8,0.3058
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,9,0.3107
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,10,0.4970
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,11,0.5238
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,12,0.2556
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,13,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,14,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,15,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,16,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,17,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,18,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,19,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,20,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,21,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,22,0.2609
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,23,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,24,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,25,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,26,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,27,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,28,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,29,0.0000
2026-07-15T15:38:12.197877+00:00,experiment_1_desktop_pc_camera,nophone_headset,30,0.0000
2026-07-15T15:39:35.658097+00:00,experiment_1_desktop_pc_camera,nophone_pen_by_face,1,0.0000
